                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0758,                 3.1666,                  3.552,                0.00863,                0.16986,                0.07378,                0.02843,                  1.816,                 3.1223,                 2.7687,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                  1.838,                 3.0174,                 3.0926,                0.01092,                0.27512,                0.16435,                0.07883,                 1.7178,                 3.0771,                 2.4937,             0.00011553,             0.00011553,             0.00011553
                      3,                 1.7891,                 2.7753,                 2.8278,                 0.0105,                0.27512,                0.22944,                0.13917,                 1.6487,                 2.8958,                  2.189,             0.00017974,             0.00017974,             0.00017974
                      4,                 1.8287,                   2.34,                 2.5396,                0.01018,                0.27512,                0.21942,                0.13019,                 1.6624,                 2.5876,                 2.1707,             0.00024262,             0.00024262,             0.00024262
                      5,                 1.9203,                 2.0227,                 2.6048,                0.67216,                 0.2488,                 0.2752,                0.17312,                 1.6319,                 2.5988,                 2.3036,             0.00030419,             0.00030419,             0.00030419
                      6,                  1.798,                 1.7585,                 2.4059,                0.94108,                0.43516,                0.71669,                0.40432,                 1.6498,                 2.5457,                 2.5034,             0.00036443,             0.00036443,             0.00036443
                      7,                 1.7537,                 1.5805,                  2.365,                0.85427,                0.69378,                0.83729,                0.47394,                 1.6597,                 1.9374,                 2.3605,             0.00042335,             0.00042335,             0.00042335
                      8,                 1.7431,                 1.5458,                 2.4118,                0.98464,                0.56086,                0.77783,                0.41905,                 1.7579,                 2.1423,                 2.7061,             0.00048096,             0.00048096,             0.00048096
                      9,                 1.7813,                 1.4597,                 2.4569,                 0.9144,                0.64289,                0.79647,                0.40432,                 1.8357,                 2.2346,                 3.0434,             0.00053724,             0.00053724,             0.00053724
                     10,                  1.657,                 1.3392,                  2.232,                0.98901,                0.92345,                0.93266,                0.57125,                 1.5525,                 1.2384,                 2.2015,              0.0005922,              0.0005922,              0.0005922
                     11,                 1.7405,                 1.4177,                 2.3609,                0.87634,                0.75906,                0.83339,                0.47053,                  1.749,                 1.4746,                 2.4988,             0.00064585,             0.00064585,             0.00064585
                     12,                 1.7812,                 1.4391,                   2.38,                0.94744,                0.64115,                0.73341,                0.38157,                 1.8785,                 1.7237,                 2.7231,             0.00069817,             0.00069817,             0.00069817
                     13,                 1.6608,                 1.3302,                  2.324,                0.94654,                0.75235,                0.82405,                0.48104,                 1.4587,                  1.737,                 2.0783,             0.00074917,             0.00074917,             0.00074917
                     14,                 1.5372,                 1.2502,                 2.1843,                0.96631,                0.79187,                0.84431,                0.52815,                 1.2917,                 1.4296,                 1.8895,             0.00079885,             0.00079885,             0.00079885
                     15,                 1.5853,                 1.2645,                 2.2426,                0.99252,                0.85992,                0.90784,                0.56284,                 1.3465,                 1.1361,                  1.925,             0.00084721,             0.00084721,             0.00084721
                     16,                 1.5896,                 1.2571,                 2.2125,                0.92199,                0.83282,                0.88362,                0.54588,                 1.3667,                 1.1374,                 1.9033,             0.00089425,             0.00089425,             0.00089425
                     17,                 1.5933,                 1.2457,                  2.236,                0.94071,                0.88278,                0.89345,                 0.5325,                 1.3604,                 1.1931,                 1.8815,             0.00093997,             0.00093997,             0.00093997
                     18,                   1.62,                 1.2202,                 2.2594,                0.91838,                0.85646,                0.91292,                0.57749,                 1.4212,                 1.0482,                 1.9651,             0.00098438,             0.00098438,             0.00098438
                     19,                 1.5706,                 1.2153,                 2.2046,                0.98979,                0.85646,                0.92361,                0.61212,                  1.325,                0.94538,                 1.8473,              0.0010275,              0.0010275,              0.0010275
                     20,                 1.6238,                 1.2053,                 2.1733,                0.95426,                0.91169,                0.92158,                0.60156,                   1.32,                 0.9524,                 1.8854,              0.0010692,              0.0010692,              0.0010692
                     21,                 1.5625,                 1.1849,                 2.2069,                0.99103,                0.89189,                0.93165,                0.59684,                 1.4095,                0.99319,                 2.0125,              0.0011097,              0.0011097,              0.0011097
